name,N,H,W,Cin,Kh,Kw,Cout,strideH,strideW,dilationH,dilationW,padTop,padBottom,padLeft,padRight,Hout,Wout,predicted_tiles,measured_tiles,max_error_ulp,result,fp64_ulp
conv_sweep_001,1,10,10,1,5,5,1,1,1,2,1,0,0,0,0,2,6,21,,3,MISMATCH,4
conv_sweep_002,1,8,8,1,3,5,1,1,2,2,1,1,1,1,1,6,3,20,,4,MISMATCH,5
conv_sweep_003,1,8,8,3,5,5,8,1,1,1,1,1,1,1,1,6,6,342,,336,MISMATCH,497
conv_sweep_004,2,10,10,8,3,3,16,1,1,1,1,1,1,1,1,10,10,3600,,4096,MISMATCH,9168
conv_sweep_005,2,10,10,3,3,5,8,1,1,2,1,0,0,0,0,6,6,432,,266,MISMATCH,485
conv_sweep_006,1,10,10,3,3,3,8,1,1,2,1,1,1,1,1,8,10,280,,152,MISMATCH,96
conv_sweep_007,2,8,8,8,5,5,16,1,1,2,1,1,1,1,1,2,6,1200,,576,MISMATCH,221
conv_sweep_008,2,8,8,3,3,3,8,1,2,2,1,1,1,1,1,6,4,168,,1216,MISMATCH,167
conv_sweep_009,1,8,8,3,3,5,8,1,2,2,1,1,1,1,1,6,3,120,,31,MISMATCH,53
conv_sweep_010,1,10,10,1,1,1,1,1,2,2,1,0,0,0,0,10,5,13,,0,BIT-EXACT,0
conv_sweep_011,2,10,10,8,3,5,16,2,2,1,1,0,0,0,0,4,3,720,,320,MISMATCH,465
conv_sweep_012,2,10,10,3,3,3,8,2,2,2,1,0,0,0,0,3,4,84,,80,MISMATCH,113
conv_sweep_013,1,10,10,3,3,5,8,2,2,1,1,0,0,0,0,4,3,72,,64,MISMATCH,60
conv_sweep_014,2,10,10,1,3,5,1,1,1,2,1,1,1,1,1,8,8,128,,28,MISMATCH,365
conv_sweep_015,2,8,8,3,1,1,8,1,1,1,1,0,0,0,0,8,8,64,,32,MISMATCH,88
conv_sweep_016,2,10,10,1,3,5,1,1,2,1,1,0,0,0,0,8,3,48,,160,MISMATCH,133
conv_sweep_017,1,10,10,8,3,5,16,1,2,1,1,1,1,1,1,10,4,1200,,2048,MISMATCH,367
