name,N,H,W,Cin,Kh,Kw,Cout,strideH,strideW,dilationH,dilationW,padTop,padBottom,padLeft,padRight,Hout,Wout,predicted_tiles,measured_tiles,max_error_ulp,result,fp64_ulp
conv_sweep_001,1,10,10,1,5,5,1,1,1,2,1,0,0,0,0,2,6,21,,0,BIT-EXACT,2
conv_sweep_002,1,8,8,1,3,5,1,1,2,2,1,1,1,1,1,6,3,20,,0,BIT-EXACT,2
conv_sweep_003,1,8,8,3,5,5,8,1,1,1,1,1,1,1,1,6,6,342,,0,BIT-EXACT,369
conv_sweep_004,2,10,10,8,3,3,16,1,1,1,1,1,1,1,1,10,10,3600,,0,BIT-EXACT,6096
conv_sweep_005,2,10,10,3,3,5,8,1,1,2,1,0,0,0,0,6,6,432,,0,BIT-EXACT,219
conv_sweep_006,1,10,10,3,3,3,8,1,1,2,1,1,1,1,1,8,10,280,,0,BIT-EXACT,133
conv_sweep_007,2,8,8,8,5,5,16,1,1,2,1,1,1,1,1,2,6,1200,,0,BIT-EXACT,541
conv_sweep_008,2,8,8,3,3,3,8,1,2,2,1,1,1,1,1,6,4,168,,0,BIT-EXACT,1302
conv_sweep_009,1,8,8,3,3,5,8,1,2,2,1,1,1,1,1,6,3,120,,0,BIT-EXACT,58
conv_sweep_010,1,10,10,1,1,1,1,1,2,2,1,0,0,0,0,10,5,13,,0,BIT-EXACT,0
conv_sweep_011,2,10,10,8,3,5,16,2,2,1,1,0,0,0,0,4,3,720,,0,BIT-EXACT,208
conv_sweep_012,2,10,10,3,3,3,8,2,2,2,1,0,0,0,0,3,4,84,,0,BIT-EXACT,193
conv_sweep_013,1,10,10,3,3,5,8,2,2,1,1,0,0,0,0,4,3,72,,0,BIT-EXACT,39
conv_sweep_014,2,10,10,1,3,5,1,1,1,2,1,1,1,1,1,8,8,128,,0,BIT-EXACT,365
conv_sweep_015,2,8,8,3,1,1,8,1,1,1,1,0,0,0,0,8,8,64,,0,BIT-EXACT,88
conv_sweep_016,2,10,10,1,3,5,1,1,2,1,1,0,0,0,0,8,3,48,,0,BIT-EXACT,27
conv_sweep_017,1,10,10,8,3,5,16,1,2,1,1,1,1,1,1,10,4,1200,,0,BIT-EXACT,2415
conv_sweep_018,2,10,10,3,3,5,8,1,2,1,1,1,1,1,1,10,4,480,,0,BIT-EXACT,231
conv_sweep_019,2,8,8,3,1,1,8,1,2,2,1,1,1,1,1,10,5,50,,0,BIT-EXACT,17
conv_sweep_020,1,8,8,8,3,3,16,2,2,2,1,0,0,0,0,2,3,144,,0,BIT-EXACT,999
conv_sweep_021,2,10,10,1,3,3,1,2,2,2,1,0,0,0,0,3,4,18,,0,BIT-EXACT,43
conv_sweep_022,1,8,8,1,3,3,1,1,2,1,1,0,0,0,0,6,3,15,,0,BIT-EXACT,27
conv_sweep_023,1,10,10,1,3,3,1,2,2,2,1,0,0,0,0,3,4,9,,0,BIT-EXACT,3
conv_sweep_024,2,10,10,8,5,5,16,1,1,1,1,1,1,1,1,8,8,6400,,0,BIT-EXACT,3202
conv_sweep_025,2,10,10,1,5,5,1,2,2,2,1,1,1,1,1,2,4,28,,0,BIT-EXACT,10
conv_sweep_026,2,8,8,3,3,3,8,2,2,1,1,1,1,1,1,4,4,112,,0,BIT-EXACT,517
conv_sweep_027,2,8,8,1,1,1,1,2,2,1,1,0,0,0,0,4,4,8,,0,BIT-EXACT,0
conv_sweep_028,1,8,8,1,3,3,1,1,1,1,1,1,1,1,1,8,8,48,,0,BIT-EXACT,97
conv_sweep_029,1,8,8,8,5,5,16,1,2,1,1,1,1,1,1,6,3,1000,,0,BIT-EXACT,8718
conv_sweep_030,1,10,10,8,5,5,16,1,1,1,1,1,1,1,1,8,8,3200,,0,BIT-EXACT,3683
conv_sweep_031,2,8,8,3,3,5,8,1,1,1,1,1,1,1,1,8,6,576,,0,BIT-EXACT,885
conv_sweep_032,1,10,10,8,3,5,16,1,1,1,1,0,0,0,0,8,6,1440,,0,BIT-EXACT,230923
conv_sweep_033,2,8,8,1,3,5,1,1,2,1,1,0,0,0,0,6,2,24,,0,BIT-EXACT,97
