name,N,H,W,Cin,Kh,Kw,Cout,strideH,strideW,dilationH,dilationW,padTop,padBottom,padLeft,padRight,Hout,Wout,predicted_tiles,measured_tiles,max_error_ulp,result
conv_sweep_001,1,10,10,1,5,5,1,1,1,2,1,0,0,0,0,2,6,21,,,
conv_sweep_002,1,8,8,1,3,5,1,1,2,2,1,1,1,1,1,6,3,20,,,
conv_sweep_003,1,8,8,3,5,5,8,1,1,1,1,1,1,1,1,6,6,342,,,
conv_sweep_004,2,10,10,8,3,3,16,1,1,1,1,1,1,1,1,10,10,3600,,,
conv_sweep_005,2,10,10,3,3,5,8,1,1,2,1,0,0,0,0,6,6,432,,,
conv_sweep_006,1,10,10,3,3,3,8,1,1,2,1,1,1,1,1,8,10,280,,,
conv_sweep_007,2,8,8,8,5,5,16,1,1,2,1,1,1,1,1,2,6,1200,,,
conv_sweep_008,2,8,8,3,3,3,8,1,2,2,1,1,1,1,1,6,4,168,,,
conv_sweep_009,1,8,8,3,3,5,8,1,2,2,1,1,1,1,1,6,3,120,,,
conv_sweep_010,1,10,10,1,1,1,1,1,2,2,1,0,0,0,0,10,5,13,,,
conv_sweep_011,2,10,10,8,3,5,16,2,2,1,1,0,0,0,0,4,3,720,,,
conv_sweep_012,2,10,10,3,3,3,8,2,2,2,1,0,0,0,0,3,4,84,,,
conv_sweep_013,1,10,10,3,3,5,8,2,2,1,1,0,0,0,0,4,3,72,,,
conv_sweep_014,2,10,10,1,3,5,1,1,1,2,1,1,1,1,1,8,8,128,,,
conv_sweep_015,2,8,8,3,1,1,8,1,1,1,1,0,0,0,0,8,8,64,,,
conv_sweep_016,2,10,10,1,3,5,1,1,2,1,1,0,0,0,0,8,3,48,,,
conv_sweep_017,1,10,10,8,3,5,16,1,2,1,1,1,1,1,1,10,4,1200,,,
conv_sweep_018,2,10,10,3,3,5,8,1,2,1,1,1,1,1,1,10,4,480,,,
conv_sweep_019,2,8,8,3,1,1,8,1,2,2,1,1,1,1,1,10,5,50,,,
conv_sweep_020,1,8,8,8,3,3,16,2,2,2,1,0,0,0,0,2,3,144,,,
conv_sweep_021,2,10,10,1,3,3,1,2,2,2,1,0,0,0,0,3,4,18,,,
conv_sweep_022,1,8,8,1,3,3,1,1,2,1,1,0,0,0,0,6,3,15,,,
conv_sweep_023,1,10,10,1,3,3,1,2,2,2,1,0,0,0,0,3,4,9,,,
conv_sweep_024,2,10,10,8,5,5,16,1,1,1,1,1,1,1,1,8,8,6400,,,
conv_sweep_025,2,10,10,1,5,5,1,2,2,2,1,1,1,1,1,2,4,28,,,
conv_sweep_026,2,8,8,3,3,3,8,2,2,1,1,1,1,1,1,4,4,112,,,
conv_sweep_027,2,8,8,1,1,1,1,2,2,1,1,0,0,0,0,4,4,8,,,
conv_sweep_028,1,8,8,1,3,3,1,1,1,1,1,1,1,1,1,8,8,48,,,
conv_sweep_029,1,8,8,8,5,5,16,1,2,1,1,1,1,1,1,6,3,1000,,,
conv_sweep_030,1,10,10,8,5,5,16,1,1,1,1,1,1,1,1,8,8,3200,,,
conv_sweep_031,2,8,8,3,3,5,8,1,1,1,1,1,1,1,1,8,6,576,,,
conv_sweep_032,1,10,10,8,3,5,16,1,1,1,1,0,0,0,0,8,6,1440,,,
conv_sweep_033,2,8,8,1,3,5,1,1,2,1,1,0,0,0,0,6,2,24,,,
conv_sweep_034,1,10,10,8,1,1,16,1,2,1,1,1,1,1,1,12,6,144,,,
conv_sweep_035,1,10,10,1,3,3,1,1,1,2,1,0,0,0,0,6,8,36,,,
conv_sweep_036,2,10,10,3,3,3,8,2,2,1,1,1,1,1,1,5,5,182,,,
conv_sweep_037,2,10,10,3,3,5,8,1,1,1,1,1,1,1,1,10,8,960,,,
conv_sweep_038,2,10,10,8,1,1,16,2,2,1,1,1,1,1,1,6,6,144,,,
conv_sweep_039,1,10,10,3,5,5,8,2,2,1,1,1,1,1,1,4,4,152,,,
conv_sweep_040,2,8,8,3,3,5,8,1,1,1,1,0,0,0,0,6,4,288,,,
conv_sweep_041,2,8,8,1,3,3,1,1,1,2,1,0,0,0,0,4,6,36,,,
conv_sweep_042,2,10,10,8,3,3,16,1,2,1,1,0,0,0,0,8,4,1152,,,
conv_sweep_043,1,10,10,3,5,5,8,2,2,2,1,0,0,0,0,1,3,38,,,
conv_sweep_044,1,8,8,1,3,3,1,1,2,2,1,1,1,1,1,6,4,18,,,
conv_sweep_045,1,10,10,1,3,3,1,1,2,2,1,0,0,0,0,6,4,18,,,
conv_sweep_046,2,8,8,3,1,1,8,2,2,2,1,0,0,0,0,4,4,16,,,
conv_sweep_047,2,8,8,8,3,3,16,1,2,2,1,0,0,0,0,4,3,432,,,
conv_sweep_048,2,10,10,8,3,5,16,1,1,1,1,1,1,1,1,10,8,4800,,,
